GEOID,NAME,variable,estimate,moe,year,year_lab,tract_name
36047047200,"Census Tract 472, Kings County, New York",female_85,71,76,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",total_race,3126,462,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",white_race,3070,455,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",black_race,17,28,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",aian_race,0,123,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",asian_race,0,123,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",nhpi_race,0,123,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",oth_race,39,62,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",mult_race,0,123,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",multoth_race,0,123,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",multnoth_race,0,123,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",total_eth,3126,462,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",nothisp_eth,3070,455,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",hisp_eth,56,67,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",total_hh_move,3070,447,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",same_hh,3012,433,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",move_instate_hh,0,123,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",move_ostate_hh,0,123,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",med_hhinc,67614,33416,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",total_hh,711,76,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",hh_oo,384,92,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",hh_ro,327,87,2009,2005-2009,Census Tract 472
36047047400,"Census Tract 474, Kings County, New York",total,2938,418,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_total,1533,261,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_5y,201,100,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_5_9,168,88,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_10_14,206,100,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_15_17,109,63,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_18_19,25,24,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_20,17,27,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_21,22,26,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_22_24,16,19,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_25_29,120,84,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_30_34,104,65,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_35_39,34,38,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_40_44,78,56,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_45_49,41,33,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_50_54,145,88,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_55_59,55,42,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_60_61,25,32,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_62_64,9,14,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_65_66,8,12,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_67_69,45,34,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_70_74,34,30,2009,2005-2009,Census Tract 474
